title,tag,artist,year,views,features,lyrics,id
Killa Cam,rap,Cam'ron,2004.0,173166.0,"{""Cam\\'ron"",""Opera Steve""}"," Killa Cam, Killa Cam, Cam Killa Cam, Killa Cam Killa Cam, Cam Killa Cam, Killa Cam, Cam Killa Killa Killa Cam Killa Cam, Cam, Killa (Killa!) Killa Cam, Killa Cam, Cam (Bases loaded) Killa Cam, Killa Cam (Uh-huh) Killa Cam, Cam (Santana on second, Jim on third) Killa Cam, Killa Cam, Cam (I'm at bat) Killa Killa Killa Cam Killa Cam, Cam, Killa (I'm 'bout to hit this shit out the world) Killa Cam (Ugh, Heatmakerz), Killa Cam, Cam Killa Cam, Killa Cam Killa Cam, Cam (Hahahaha) Killa Cam, Killa Cam, Cam Killa Killa Killa Cam Killa Cam, Cam, Killa (We  make this shit clap) Killa Cam, Killa Cam, Cam Killa Cam, Killa Cam Killa Cam, Cam Killa Cam, Killa Cam, Cam Killa Killa Killa Cam (Killa! Killa!) Killa Cam, Cam, Killa  With the goons I spar, stay in tune with ma (What up?) She like, ""Damn, this the realest since 'Kumbaya'"" Bomaye, Killa Cam, my Lord (My Lord) Still the man with the pan, scrilla, fam, on board Now bitches, they want to neuter me, niggas, they want to tutor me The hooligan in Houlihan's, maneuvering's nothing new to me Doggy, I'm from the land of grind, pan-pan: gram or dime? Not toes or MC when I say ""hammer time"" Beef: I hammer mine, when I get my hands on nines If I had on 'Bama line, Corduroys, Cam'll shine Canary burgundy: I call it ""Lemon Red"" (Red) Yellow diamonds in my ear, call 'em ""Lemonheads"" Lemonhead, end up dead, ice like Winnipeg Gemstone, Flintstones, you could say I'm friends with Fred You unhappy, scrappy? (What's going on, Scrappy?) I got Pataki at me Bitches say I'm ""Tacky Daddy,"" Range look like Laffy Taffy   Killa Cam Killa Cam Cam (sing) Killa Cam Killa Cam Killa Cam Cam (uhh, it's me, clap) Killa Cam Killa Cam Cam Killa Killa Killa Cam (sing) Killa Cam Cam Killa (uhh, it's me, clap) Killa Cam Killa Cam Cam (sing) Killa Cam Killa Cam Killa Cam Cam (clap, it's me) Killa Cam Killa Cam Cam Killa Killa Killa Cam (clap) (Harlem, I know y'all know about this) Killa Cam Cam Killa (Killa!)  Yo, I'm from where Nicky Barnes got rich as fuck Rich and A hit the kitchens then were pitchin' up Rob Base, Mase, Doug E Fresh switched it up I do both, who am I to fuck tradition up? (Killa!) So I parked in a tow-away zone Chrome...I don't care That car a throwaway, homes (Killa!) Welcome to Harlem, where you welcome to problems Off of furlough, fellow felons get pardons Them niggas knew we bang Stood out like Pootie Tang Soon as the stoolie sings That when the toolie sing! Bang! Bang! Came from that movie ring Snap, crack jewelry bling Flapjack, ooh he bring Clack-clack, ""ooh he ring!"" Bad rap, cuties cling Ass cap, put them in the river I'm the sushi king And I'ma keep ya fresh Let the fish eat ya flesh Yes sir, please confess Just say he's the best (Killa!)  Killa Cam (sing) Killa Cam Cam (clap) Killa Cam Killa Cam (yes) Killa Cam Cam (it's me, sing) Killa Cam Killa Cam Cam (sing) Killa Killa Killa Cam Killa Cam Cam Killa  (clap, yes sir, uhh) Killa Cam Killa Cam Cam (sing, clap) Killa Cam Killa Cam Killa Cam Cam (it's me) Killa Cam (sing, clap) Killa Cam Cam Killa Killa Killa Cam (Let me end this shit, listen) Killa Cam Cam Killa   (Killa!) Yo How dope is this? Teach you how to rope a chick What you want: coke or piff? Got it all, smoke or sniff? (everything) And you know my drift Used to figures, dough and shit (millions) You a rooster nigga, just a roaster, bitch And I roast ya bitch That's how it usually ends Tell her and her groupie friends Go get their coochie cleansed We the moody Gucci, Louis and Pucci men Escada, Prada The chopper it got the Uzi lens Bird's-eye view The birds I knew flip birds Bird gangs, it was birds I flew And word I blew off herb I grew I would serve on stoops Now swerve in coupes It's me, sing! Killa, uhh   Killa Cam Killa Cam Cam Killa Cam Killa Cam Killa Cam Cam Killa Cam Killa Cam Cam Killa Killa Killa Cam Killa Cam Cam Killa Killa Cam Killa Cam Cam Killa Cam Killa Cam Killa Cam Cam Killa Cam Killa Cam Cam Killa Killa Killa Cam Killa Cam Cam Killa",1.0
Can I Live,rap,JAY-Z,1996.0,468624.0,{},"   Yeah, hah, yeah, Roc-A-Fella We invite you to somethin' epic, you know? Well, we hustle out of a sense of hopelessness Sort of a desperation Through that desperation, we become addicted Sort of like the fiends we accustomed to servin' But we feel we have nothin' to lose So, we offer you, well, we offer our lives, right? What do you bring to the table?   While I'm watchin' every nigga watchin' me closely My shit is butter for the bread, they wanna toast me I keep my head, both of them, where they supposed to be Hoes'll get you sidetracked, then clapped from close feet I don't sleep, I'm tired, I feel wired like codeine, these days A brother gotta admire me from four fiends away My pain, wish it was quick to see From sellin' 'caine 'til brains was fried to a fricassee Can't lie, at the time it never bothered me At the bar, gettin' my thug on properly My squad and me lack of respect for authority Laughin' hard, happy to be escapin' poverty, however brief I know this game got valleys and peaks Expectation for dips, for precipitation we stack chips, hardly The youth I used to be, soon to see a mill'in No more Big Willie, my game has grown Prefer you call me William Illin' for revenues, Rayful Edmond-like Channel 7 News, round seven jewels, head dead in the mic Forgettin' all I ever knew, convenient amnesia ""I suggest you call my lawyer, I know the procedure."" Lock my body, can't trap my mind Easily explain why we adapt to crime I'd rather die enormous than live dormant, that's how we on it Live at the main event, I bet a trip to Maui on it Presidential suites my residential for the weekend Confidentially speakin' in codes since I sense you peekin' The NSX rental, don't be fooled, my game is mental We both out of town, dog, what you tryin' to get into? Viva Las Vegas, see ya later at the crap tables Meet me by the one that starts a G up This way no Fraud Willies present gamblin' they re-up And we can have a pleasant time, sippin' margaritas  Ge-ge-geyeahhh Can I live? Can I live?   My mind is infested with sick thoughts that circle Like a Lexus, if driven wrong it's sure to hurt you Dual level like duplexes, in unity My crew and me commit atrocities like we got immunity You guessed it, manifest it In tangible goods, platinum Rolex'd it We don't lease, we buy the whole car, as you should My confederation, dead a nation Explode on detonation, overload the mind of a said patient When it boils to steam, it comes to it We all fiends, gotta do it: even righteous minds go through this True this, the streets school us to spend our money foolish Bond with jewelers and watch for intruders I stepped it up another level, meditated like a Buddhist Recruited lieutenants with ludicrous dreams of gettin' cream ""Let's do this,"" it gets tedious So I keep one eye open like CBS — you see me stressed, right?   Can I live? Can I live? Can I live? Can I live?",3.0
Forgive Me Father,rap,Fabolous,2003.0,4743.0,{},"Maybe cause I'm eatin And these bastards fiend for they grub I carry pumps like I serve gasoline to these scrubs Have you seen my Aston leanin on dubs And they can't afford chrome so they puttin Vaseline on they hubs I'm lookin for a girl with a ass like Trina to rub Take home and let her watch the plasma screen in the tub These niggas hate I move as smooth as castor cream in the club And dont pass my green or my bub But I'm a fly nigga that don't do much to pull her and dick her Everyday I'm poppin a tag and pullin a sticker Everyday I'm switchin the tags and pullin up sicker Every ""K"" I'm loadin the mags with bullets to flicker And I ain't hesitatin homie I'm pullin it quicker So you can act tough After a few pulls of some liquor Gotta pull it on niggas And they won't be goin nowhere for a while They might as well pull out a snicker Ye-Ye-Yea   Forgive me father for I have sinned But look at all this money that I spend And look at all this jewlery that I'm in And look at all the places that I've been And look at all the women in those brims Look at the blue flames that I'm in I look at all the bullshit that theres been And if I had another chance I'd do it again  Anywhere the kid move you know the hammers'll be with me Pokin out the shirt like a Pamela Lee titty I went on tour brought the samples of D wit me Came back a month later bought a Lambo for three-fifty Think I throw you grams if you read with me Just because you see me on the camera with P. Diddy Dammit we P-driddy?? Now I got G with me Along with the third leg that I be rammin in these bitties I keep the revolver you hope my gun'll jam But with the scope its gonna blam The infra put freckles on your face like Opie Cunningham Thats why I'm watched by the Feds and scoped by Uncle Sam Dope and hunn-ed (hundred) grams rope and hunn-ed grams At the same time an artist get to open Summer Jam Hope you understand or use better sense These niggas dont want no beef they want lawsuit settlements Nigga!     I'm in a waggy when I'm passin by ya With a baby girl who suck harder than Maggie on a pacifier What I'm smokin'll have you aggie as your last supplier When you can smell it through the baggie you know that's some fire Gettin stressed by these hotties is regular I got a magazine to press to your body like editors Test me somebody I'm beggin ya I got the gatling gun like Jesse The Body in Predator I'm a hustler I dont sling no rocks to the fiends now Got dudes who sit on corners like a boxer between rounds Any other dude who dish rocks want beef Cause I chop dimes bigger than Chris Rock front teeth I'm the nigga tearin the walls up in your miss in exchange for a small cup Of the Cris And while you at probation fillin a small cup full of piss I'm in a coupe with a roof that ball up like a fist (Catch up!)",4.0
Down and Out,rap,Cam'ron,2004.0,144404.0,"{""Cam\\'ron"",""Kanye West"",""Syleena Johnson""}","   Ugh, Killa! Baby! Kanye, this that 1970s Heron flow, huh? Yeah, let's speed it up Ugh, I'm back in, ugh, ugh They don't know we finna kill the game this year Killa! 'Ye! C'mon!   Ayo, street mergers, I legislated; the nerve, I never hated On murders, premeditated—absurd! I hesitated Observe: cock and spray, hit you from a block away Drinking sake on a Suzuki; we in Osaka Bay Playing soccer, stupid, stay in a sucker's place Pluck your ace, take your girl, fuck her face She dealing with Killa, so you love her taste She swallowing Killa 'cause she love the taste I got brought up with crooking, kitchen orders that I'm cooking But got caught up with the juxes You would've thought I was from Brooklyn It gets boring just looking Did like Bill Cosby, pouring in the pudding Now, the dashboard is wooden from a hard-tangled grammar Interior, inferior; Star-Spangled Banner Car game bananas, mob manning tanners Guns everywhere, like the car came with hammers, he's back  They trying to say he (I'm down, down) I hear niggas saying he (I'm down, but not out) But our flow is the truest (Oh), the game's in the nooses (No no) Our girls is the models (Oh), they coochies the juiciest (Ooooh) Yeah, they say he (I'm down, down) Yeah, they say he (I'm down, but not out) 'Cause I'm back on my grind (Oh), money back on my mind (No no) Ye and Killa Cam, the world is mine (Oooh)   I treat bitches straight up, like Simon Says Open vagina; put your legs behind your head Cop me Air Ones, hon, lime and red You got pets? Me too: mines are dead, doggy Fox, minks, gators, that's necessary Accessories, my closet's Pet Sematary I get approached by animal activists I live in a zoo, I run scandals with savages All my niggas get together to gather loot Bodyguard for what? Dog, I'd rather shoot I go to war, old Timbs, battered boots Hand grenade, goggles and a parachute Y'all don't even know the name of my flip It was ""Touch Me, Tease Me"" when Case was the shit You don't know bout the cases I get: Court case, briefcase, suitcase, cases of Cris', oww!  They trying to say he (I'm down, down) I hear niggas saying he (I'm down, but not out) But our flow is the truest (Oh), the game's in the nooses (No no) Our girls is the models (Oh), they coochies the juiciest (Ooooh) Yeah, they say he (I'm down, down) Yeah, they say he (I'm down, but not out) 'Cause I'm back on my grind (Oh), money back on my mind (No no) Ye and Killa Cam, the world is mine (Oooh)   Ugh, Killa, yo, yo, ayo— You dealing with some sure shit, my bitches pure thick Play razor tag, slice your face, you're it! It's I who come by, drive-thru Gator-toed Mauri, three quarters, sky-blue Look at mami: eyes blue, 5'2'' I approached her—""Hi, boo, how you? Pony skin Louie? Oh, you fly too You a stewardess? Good, ma—I fly too"" Now, a nigga got baking to bake Harlem shake? Nah, I'm in Harlem shaking the weight Shaking to bake, shaking the Jakes Kill you, shoot the funeral up and Harlem Shake at your wake Just your picture, though; you still taped in a lake I'm laughing; you couldn't wait to escape For anyone who owed the dough, I had to load the four I hope a nigga heard when I said ""I told you so"" Ugh, Killa!  They trying to say he (I'm down, down) I hear niggas saying he (I'm down, but not out) But our flow is the truest (Oh), the game's in the nooses (No no) Our girls is the models (Oh), they coochies the juiciest (Ooooh) Yeah, they say he (I'm down, down) Yeah, they say he (I'm down, but not out) 'Cause I'm back on my grind (Oh), money back on my mind (No no) Ye and Killa Cam, the world is mine (Oooh)   Mine! Killa! You already know Harlem Whole Midwest, Detroit, Naptown, St. Louis Chicago, of course Westside, holla at me Southside, wild hundreds You know what it is, Ohio Columbus, holla at your boy You know what else I do: Dayton, Youngstown, Cleveland, Cincinnati",5.0
Fly In,rap,Lil Wayne,2005.0,78271.0,{}," So they ask me ""Young boy What you gon' do the second time around? How you gon' come back?"" I tried told 'em ""I come back like 32 I jump back like 33"" Ugh, hit me That's nothing This is Tha Carter II, people This is Tha Carter II, people Hey   They call me Mr. Carter, I kissed the daughter Of the dead's forehead, I killed the father Spilled the heart of a mildew hater I will put them body on chill like glaciers, gracias I'm crazy, yes, it's obvious Going against me is atheist I got my angels on my shoulder and a quarter of that angel dust I ain't sniffing, I'm just pitching, your honor I ain't snitching, your honor Hate bitch niggas, bitches with power Vacate when that kitchen get hotter I just sit on the counter Open the cabinet, close the cupboard Put that jar in the skillet, drop a four in the bubbles I remember being young, tryna hustle my dope Tryna tell the old junkies that my crack ain't soap Tryna tell you 'fore you jump that my MAC ain't broke You ain't tryna see how far that black back lane go, no Call me Pac-Man, your ghost is blue I got my Red River rubies and my ocean blue jewelry Usually I'm a hooligan for the money Yeah, I'm eating, but I got a tapeworm in my tummy, oh Make harm and I bomb you in public Hit you with the straight-arm, no warning, nothing Look, it's morning, no yawning or nothing I ain't sleeping, I'm up tryna take a nigga lunch You gon' make a nigga break a nigga fronts Then shake a nigga shorts and we taking what we want I'm so 504, you got to kill me here If you ever looking for me, bitch, I will be here Cash Money is an army, Navy Seal me here Lot of niggas ran from me, but I still be here No chrome on the Continental, I'm so fundamental Crack the Phil', crack the roof, and roll up the windows And my hood love me, they tell me bring it home That's why I holler Hollygrove on each and every song You leaping at a dog, a dog with no bark Just a bite like an old shark And all you rich niggas know Pa, I'm talking 'bout Stunna He like, ""Keep your dough,"" he got your ho And the sun shines on the king and sets on the prince I met the Birdman and I been shining ever since, like that",6.0
Lollipop Remix,rap,Lil Wayne,2008.0,580832.0,"{""Kanye West"",""Static Major""}"," Haha Uh-huh No homo (Young Mula, baby!) I say, he's so sweet, make her wanna lick the wrapper Remix, baby!   Lollipop, lollipop, breastses just like Dolly Parton She ride my spaceship 'til she hit the top That hit the spot 'Til she ask, ""How many li-i-li-i-licks do it take"" 'til she get to shop? Don't worry why my wrists got so freeze Tell a girl, ""Like Doritos, that's not 'cho cheese"" Tell her friends, ""Like Fritos, I'm tryin' to lay"" I can't only have one, and I ain't trying to wait This a song with Wayne, so you know it's gon' melt But you ain't finna murder me like everybody else I'ma rap like I got some type respect for myself I don't do it for my health, man, I do it for the belt Man, I do it to the death, 'til the roof get melt Hundred degrees, drop the roof, so the coupe don't melt Man, the flow so cold, chicken soup won't help We need four more hoes, we need oh, oh, oh, oh! You know what it is when we out of town We balling too serious, and you out of bounds So come here, baby girl You're now fucking with the best in the world  Lollipop The best in the world Sh-Sh-She lick me like a lollipop World, world She— She lick me like a lollipop   Shawty want a thug, thug, thug Bottles in the club, club, club (Bottles in the club) Shawty wanna hump (Shawty wanna) You know I like to touch (Shawty wanna) Your lovely lady lumps, lumps, lumps (Shawty wanna) Shawty want a thug (I like that) Bottles in the club (Hey, I like that) Shawty wanna hump (I like that, haha!) You know I like to touch your lovely lady lumps, lumps, lumps   Shawty say she wanna lick the wrapper And she gonna lick the rapper And I just wanna act like a porno-flicking actor I Anita-bake her; now, she caught up in that ""Rapture"" I got so much chips, I swear, they call me ""Hewlett Packard"" I got so much chips, you can have a bag if you're a snacker Greedy mother-fudge cake; now, tell me how that fudge tastes I do it for Bloods' sake—soo-woo! Think it's voodoo how that roof do di-di-dissipate Your girl want to participate She so, so sophisticate, 'cause her brain is off the chain And then, my diamonds are in the choir because they sing from off my chain And my Nina just joined the gang because all she do is bang Like Ricky Martin; Wayne and Kanye: pick your poison If that woman wanna cut, then tell her I am Mr. Ointment Tell her to make an appointment with Mr. I-Can't-Make-An-Appointment Take my lollipop and enjoy it—remix!  Shawty want a thug, thug, thug (Shawty want a thug, yeah!) Bottles in the club, club, club (Bottles in the club, yeah!) Shawty wanna hump (Yeah! Shawty wanna) You know I like to touch (Yeah! Shawty wanna) Your lovely lady lumps, lumps, lumps (Shawty wanna) Shawty want a thug (I like that) Bottles in the club (Hey, I like that) Shawty wanna hump (I like that, haha!) You know I like to touch your lovely lady lumps, lumps, lumps   Why would she? She probably be the odd cookie In the plastic bag 'bout to get crushed by a building I've flushed out the feeling of me being the shit 'Cause I was leaving skid marks on everywhere I sit I am everywhere, I'm it, like Hide-and-Go And I can go anywhere: eeny, mini, miney, mo I'm in your neighborhood, area, CD-thing, tapedeck ​iPod, your girlfriend, and she say I got great sex Safe sex is great sex, better wear a latex 'Cause you don't want that late text, that ""I think I'm late"" text Haha! So wrap it up! Bu-Bu-But he's so sweet, sh-she wanna lick the wrapper   Shawty want a thug Bottles in the club, club, club Shawty wanna hump You know I like to touch Your lovely lady lumps, lumps, lumps (Re-Re-Re-Remix, baby!)  Lick me like a lollipop (Lollipop) She— She lick me like a lollipop (L-Lollipop) Sh-Sh-Sh-She lick me like a lollipop (Lollipop) She— She lick me like a lollipop (Lollipop)",7.0
Im Not You,rap,Clipse,2002.0,28645.0,"{Jadakiss,""Styles P"",""Roscoe P. Coldchain""}"," No, no, no! I told you, I lived this shit I ain't up here just rappin' and tappin' Spittin' and skittin' and shit Naw, uh-uh, not me I'm not you, I'm not you, rapper I'm not you, Pusha   I keep that ziploc bustin at the stitches Culinary chemist, I serve the malicious To break the fiends fixes, one give you the sniffles The other leave you with the itches Transport airport with the Vaseline So I can fulfill my dreams of pastures that's green More cash then ya seen, with an Aston that's green Me driving up fast with the lean Zonin' family, keep youngins in them rented Camrys Door panels full of shit and I ain't full of shit Reckless ass, God forbid they don't crash From the panel to the dash, it's four pounds of slab Nah bitch, we don't believe in air bags Cars turn tricks like them Ringling Brothers skits Whether bitch hop out, or the Glock pop out Ya know what I'm about, blow clear ya sinus 'til the snot drop out  Whoever said birds fly south for the winter's a damn lie Got 'em right here, and if I don't like you, the grams hide Take it or leave it, soon as a fiend taste it they need it Make 'em smoke it right in front of you to make you believe it Prolly think I won't murder you the way I smile But I'ma take a lot of shots, A.I. style And Jada, the name is filthy, but so what? The motherfuckin game is filthy, you know what? My mom and my pops really did a good job But it was the Montega and the 'caine that built me So I could never hate on another brother God is great, the devil is a motherfucker When you broke but they think you got money Crackers start showin you love, your own people act funny I tear niggas heads off, I don't discriminate Waves, cornrows or dreads, I will eliminate   I'm far from a noodle nigga, I stab up block reps And turn quiet streets into hot sets Nigga, that's funny, you say you a killer, how? What is it, the return of the killer clowns? Akhi, you put no fear in my heart I make ya people say, ""Wow, that didn't look like my man"" They flipped him upside down, the coroner did what he can He got hit with ten rounds at point blank and point blank Coldchain left that nigga stankin Half static and face, I got the wrinkling, slugs all in it I had my eyes on his mink and, I didn't give em a chance to blink When I jogged up on em, pressed the 40 up on him shocked 'em Made his head stand on end and like a baby, I rocked 'em The coffin the cradle, you can't bite the hand that made you That's the beginning of the end, and you a thug that pretends Call Coldchain ""Super Nigga,"" I got X-Ray vision, I see through men And squeeze triggers with bullets that go through men  Fuck with S.P., that's ya date with death Got bullets that'll break ya chest No sleep like I hate to rest I'm in the hood like its my fate to rep I hold it down, any place I step And I love getting slept on Cause I'm rawer than dope, fresh out of Africa that never been stepped on Dawg, I'ma clap at you the minute that you rep wrong Holiday, the Ghost the main reason why your set gone Why I love riffing 'em poor? You wouldn't understand, cause my God is different than yours If the world spin in a circle, I want to learn to move backwards Kill niggas the first minute they jerk you What you keep the toaster for? Creeping through the hood and Shit ain't really good but I'm deeper than the ocean floor Higher than a plane and meaner than a bull I want ya insides out so I mean it when I pull   Rappers is talking to me as if (come on) We in the same boat I tell them quick, ""No, I move coke"" (uh-uh) And you and I don't share no common bond So forgive me if I don't receive you with open arms (No) It shames me to no end To feed poison to those who could very well be my kin (uh-huh) But where there's demand, someone will supply So I feed them their needs, at the same time, cry Yes, it pains me to see them need this All of them lost souls and I'm their Jesus Deepest regret and sympathy to the streets I seen them pay for they fix when they kids couldn't eat (so sorry) And with this in mind, I still didn't quit And that's how I know that I ain't shit (I ain't shit) My heart bleed but that's aside from the fact I live for my kids and theirs and them youngins after that",8.0
Family Ties,rap,Cam'ron,2004.0,41960.0,"{""Cam\\'ron"",""Lady Wray""}"," Killa, Dipset Man I spit that pimp talk, you hang out where the pimps collide It's a pimp in my ride, no need to pimp the ride This ain't the pimp camp: pimp limp, pimp stance Pimp-slap a slim tramp, order steak, shrimp scamp Ok-k-kay, you g-g-gay I'll soufflé ya toupée and bottles be a bouquet Right where you stay, or where you stayed That .45 trey deuce spade sprayed, you stayed Unload the click-clack to ya fit cap Hold the shit back, say goodbye and go commit that For 9 years in Spain had the time share Back to Times Square...I got dimes here By the Port Authority, but I got more authority Your girl she ordered Mauri, checks she forge 'em for me Reporters report me how she report to the orgy But it's more to the story: her daughter applaud me   We in a zone, our soldiers like to stand by Never alone we 'bout to make the drums cry Dipset, Dipset, Dipset, Dipset, Dipset, Dipset We hold our own, don't think you can move us or push us We step to the side, that's why I call this family ties Dipset, Dipset, Dipset, Dipset, Dipset, Dipset  Killa! Uhh From the back of the cop-ride To black-on-black, black when we cop rides I will not hide, ""hi ma, hot thighs"" Dick on her nose...now she's cock-eyed From whippin' the bacon rolls to outside whippin' the bacon Rolls Sanaa Lathan knows, I'm rakin' but makin' dough 80 holes in your shirt, there: your own Jamaican clothes I ain't talkin' the Poconos, I'm talkin' the Aspens, to slopes we go You get the ""okey doke"", play me, baby I hope he know We break noses, call him baby Pinocchio (Fuckin' liar), I hold him with blue mittens 2 pigeons, ""what the fuck are you pitchin'?"" 1 house, 2 kitchens...who's bitchin'? I bring the diesel, won't see the Fu-Schnickens (And I don't trust a hoe) That's mother to baby-mother Motherfucker, you look like a lady-lover I'll touch slap her, dap her, plus clap her Tell her drink, come get drunk, it's nut cracker And it's well known that Rell home Yup, hit E.T up on the cell phone As your family dies, and my family rise Call the network, Dipset, Family Ties (Killa)  We in a zone, our soldiers like to stand by Never alone we 'bout to make the drums cry Dipset, Dipset, Dipset, Dipset, Dipset, Dipset We hold our own, don't think you can move us or push us We step to the side, that's why I call this family ties Dipset, Dipset, Dipset, Dipset, Dipset, Dipset   They see me in that lavender tank, you'd rather just faint I was Fort Laudi, you was Saint Latter-Day Saints Whips get lathered in paint Rap with the rappers, scrap with the actors, cap back: abracadabra And I'm appalled think that we at all comfortable Me in Mauris, these rappers all Theodore Huxtable They mother's a lawyer, they father's a doctor Auction coke to the coppers, Glocks in the locker and Who you supposed to be? Get hung from the rosaries Call me ""C.O.D."" - that's coke and them Os of D Some OD'ed, B off them Os of D I ain't give a fuck as long as they ain't close to me Put ya drugs in the air, give a toast to me Pump that Dip in ya veins, get dope like me Fuck Kerry and Bush, you should vote for me For real, nigga, on the real the last hope is me  We in a zone, our soldiers like to stand by Never alone we 'bout to make the drums cry Dipset, Dipset, Dipset, Dipset, Dipset, Dipset We hold our own, don't think you can move us or push us We step to the side, that's why I call this family ties Dipset, Dipset, Dipset, Dipset, Dipset, Dipset",9.0
Rockin and Rollin,rap,Cam'ron,1998.0,6399.0,"{""Cam\\'ron""}"," Ay yo you wonder who I are I guzzle up at the bar But you see me in the cars that start with the double R Range Rover, Rolls Royce, even got a Rocky Rolly See more ice than a hockey goalie Baby eating guacamole I did without Now I live it out Cars? got to whip it out Every year I get it out (Why?) I be long gone (Where?) probably Hong Kong Girls with their thong on I'm playing Don Juan Drinking Chandon Where the chron, ma? ""You smoke weed?"" ""What you think, girl? Uh-huh!"" Start the car up Take her on a long ride Yo she think my steering wheel on the wrong side No I'm sorry This is the Ferrari Limon like Bacardi Rock with safari But la di da di We like to party And every night, believe, we gon' leave with somebody  We was rockin' and rollin' Now we rollin' and smokin' On the phone and we chokin' While you strollin' and hopin' For the tone which you spoke in And I know that you're open Live a Branson life and a brand new 5 Hot man, God damn, Killa Cam be live   Ay yo come on, girlfriend I ain't no actor, really So when you come around here don't be acting silly Askin ""did he?"" Come on I got the baddest biddies Ass is pretty Like hoes down in Magic City Now you smoke hoes and the coco Niggas say I'm loco Cause I'm low low from the po-po Every night I stroke hoes No-no for homos F doing promos I was Def already I just added the So-So Wherever we at Ready to act Better be strapped I live the life of Riley Whether Teddy or Pat And when it come to the cash Bet I'm heavy with that If your man want to bet Then I bet he be cracked And your little girlfriend She was wet off the bat From the Chevy tonight; Yo, I'll bet she be back For the one night stand Yeah, the sex in the sack Yo I ask her if she miss it Then I tell her to kiss it Come on    Ay yo your girl around me? That's like sand to a beach Or a gram to a ki or a branch to a tree Your money? That's my advance to a G And you'll see me and Lance to the B Yeah acting wild Jimmy back me, child How long you think an ounce gonna last me now? But I love when hoes call me ""The Cat's Meow"" Cause I run up in them and I make their cats meow Are you hip to the jive? How we get to the thighs? Half of my game? Yo, that shit be a lie But it's true about Duke from the hoop to the 5 And I'm right behind him in a coupe that we drive Baby am I slick Oh your friends are sick To see me and my chicks in DKNY kicks And my clique Yo we get the dank and bounce And put another half a mil in my bank account",10.0
Lord You Know,rap,Cam'ron,2004.0,11882.0,"{""Cam\\'ron"",""Juelz Santana"",Jaheim}"," Now Lord you know, just how hard I try To live my life and get it right Trying to see some light or even better Way over way a new day, someday Yesterday was filled with sorrow but tomorrow It gets better I know, tell you, I know   With my muscle you'll be dazzled, but hustlin's a hassle Percocet, Demerol, capsules of Paxil Cops wanna cuff you, niggas wanna clap you Bitches might burn you; they runnin' with that clap too But the monster made it Do it for those incarcerated, who had it confiscated Hate it when they take powder Upstate he take showers Baby moms on Greyhound for 8 hours See her man face-to-face through the glass On the phone. 10 years he got, chasin' that cash Cocaine, he had that game in a smash Felt like the Towers when the planes went on crash It wasn't 9-11, but it was 9-1-1 Gave him 9 plus 1, dropped a dime on dun I told him get his 9 and run Turned himself in, I had to find that dumb  Now Lord you know, just how hard I try To live my life and get it right Trying to see some light or even better Way over way a new day, someday Yesterday was filled with sorrow but tomorrow It gets better I know, tell you, I know   Ayo, them niggas from the three two, said I can't breeze through The 40 if I cop bottles, we can't believe you Me who? Please boo, landin' in that G2 Same color as beef stew, favorite letters: GQ That's me, true, peach/blue, Hebrew Lawyer on my side keep me out of jail the fees stew, steep? Woo! But it might lead to that R2D2, the mobsters creep through We the new PE, shittin, pee-ew To the hood: y'all don't need me, I need you 'Cause my mission's insane, you couldn't vision the pain Always a snitch in the game, what you want: prison or fame? Either one, dun, long as my digits the same He lookin' frigid, dig it, make sure them digits get changed 'Cause I can't be in Hell's cell, shout out to Mel Mel Cash and Hell Rell, Zeek doin' 3, he even fell, hell He comin' home on '07 and 12 cells 'Cause you must have known, I can't trust the phones For the dough you'll be like Doe, stuck at home  Now Lord you know, just how hard I try To live my life and get it right Trying to see some light or even better Way over way a new day, someday Yesterday was filled with sorrow but tomorrow It gets better I know, tell you, I know   Nowadays dog, they raid up in the ballparks Blaze 'em when they cross sharks We raiders of the lost ark I'm like a ballplayer, shake up and cross narcs They get mad when I lay up in the Porsche Box More props, R.I.P. my poor pops Can't see his son shine like the Four Tops My antennas will block the scanners I got blammers, you'll drop your hammers Lawyers to watch lawyers, cameras to watch cameras Niggas to watch bitches, Nana to watch Grandma In pajamas I snuck out to watch Santa Now look at Killa, you gon' watch Santana   Now Lord you know, just how hard I try To live my life and get it right Trying to see some light or even better Way over way a new day, someday Yesterday was filled with sorrow but tomorrow It gets better I know, tell you, I know  Now I was born by the river in a little tent Little gate, little fence - I climbed over Little scrapes, little dents - I got over That was just the beginning it's not over It's been a long time comin' Cam It's been a long time riding and a long time running, man Shit done changed since The Wop and The Running Man Since Nino, Gee Money, The Carter, and the Duh-Duh Man It's no longer a New Jack City It's ""cop fast and move that quickly"" or cops crash Spent a long time coming up this road And I ain't talking rap, man, I'm coming up this road I'm talking crack, man and coming up with O's I'm coming up with halves and coming up with wholes Shit got hectic had to come up with my hoes They would boof it and go, I receive it move it and roll I was comin' from the Q, Zeek was comin' from the O Jim chose to give his work to smash in dough We was all on the paper-run Yeah, waiting for a change to come Now look: the change has come The 7-Pick Up, Yukon, the Range is come The day has come, Dipset remains the ones Most hated by you other motherfuckers In this game, we remain, it's a shame cuz",11.0
